bvn,account_number,date,description,deposits,withdrawals,balance
38612218715,1004605806,2017-01-06 03:53:00,Opening Balance,0.00,0.00,2173189.84
38612218715,1004605806,2017-01-06 03:53:00,MTN Airtime Purchase 09031904969-1004605806,0.00,100.00,2173089.84
38612218715,1004605806,2017-01-06 03:53:00,OnDemand USSD Airtime. REFID: 105714835713631800,0.00,100.00,2172989.84
38612218715,1004605806,2017-01-16 01:56:00,NIP Charge + VAT,0.00,105.00,2172884.84
38612218715,1004605806,2017-01-16 01:56:00,NIP CR/ZONGNIGBE GABIN CHUNG/UBA,0.00,4000.00,2168884.84
38612218715,1004605806,2017-01-16 01:56:00,Airtime//09031904969//MTN,0.00,20000.00,2148884.84
38612218715,1004605806,2017-01-16 01:56:00,From Barbara Iyayi,0.00,700000.00,1448884.84
38612218715,1004605806,2017-01-23 15:55:00,Transfer/Counter Cheque Charge,0.00,210.00,1448674.84
38612218715,1004605806,2017-01-23 16:45:00,Cheque Book Charge,0.00,1050.00,1447624.84
38612218716,1004605807,2017-01-23 15:55:00,COUNTER CHEQUE-BARBARA B  IYAYI,,50000.00,1397624.84
38612218717,1004605808,2017-01-23 12:32:00,From Barbara Iyayi,0.00,70000.00,1327624.84
38612218718,1004605809,2017-01-23 12:31:00,From Barbara Iyayi,0.00,200000.00,1127624.84
38612218719,1004605810,2017-01-25 15:35:00,NIP Charge + VAT,0.00,105.00,1127519.84
38612218720,1004605811,2017-01-25 14:28:00,MC Card replacement fees | CR | 24/01/2017,0.00,1000.00,1126519.84
38612218721,1004605812,2017-01-25 15:35:00,NIP CR/HARVARD BUSINESS SCHOOL ASSOCIATION OF N/FCMB,0.00,45000.00,1081519.84
38612218722,1004605813,2017-01-26 13:02:00,From Barbara Iyayi,0.00,50000.00,1031519.84
38612218723,1004605814,2017-01-26 12:50:00,From Barbara Iyayi,0.00,100000.00,931519.84
38612218724,1004605815,2017-01-29 05:33:00,From Barbara Iyayi,0.00,100000.00,831519.84
38612218725,1004605816,2017-01-30 09:28:00,NIP Charge + VAT,0.00,105.00,831414.84
38612218726,1004605817,2017-01-30 09:28:00,NIP CR/ZONGNIGBE GABIN CHUNG/UBA,0.00,3500.00,827914.84
38612218727,1004605818,2017-01-31 21:54:00,Acct Maint. Fee + VAT,0.00,1410.89,826503.95
