bvn,account_number,date,description,deposits,withdrawals,balance
38612218715,1004605806,2017-07-05 00:00:00,Opening Balance,,,303945.21
38612218715,1004605806,2017-07-05 17:55:00,MC Loc ATM Wdl-000287343075--ZIB A/Adetokunbo ATM                LANG-,0.00,10000.00,293945.21
38612218715,1004605806,2017-07-05 17:50:00,MC Loc POS Prch-000200000167--DR. HAMMOND S CLINIC   LA           LANG-,0.00,11500.00,282445.21
38612218715,1004605806,2017-07-05 17:55:00,MC Loc ATM Wdl-000287342477--ZIB A/Adetokunbo ATM                LANG-,0.00,20000.00,262445.21
38612218715,1004605806,2017-07-10 14:26:00,MC Loc POS Prch-071060099413--WHEATBAKER HOTELS        Lagos        NG-,0.00,2500.00,259945.21
38612218716,1004605807,2017-07-13 16:14:00,Deposit,147000.00,0.00,406945.21
38612218717,1004605808,2017-07-13 16:15:00,Deposit,203000.00,0.00,609945.21
38612218718,1004605809,2017-07-13 20:31:00,MC Loc POS Prch-000210001487--ITALIAN FORMULA LIMITED             LANG-,0.00,20800.00,589145.21
38612218719,1004605810,2017-07-13 18:46:00,MC Loc POS Prch-000018020230--HUBMART STORES LIMIT   LA           LANG-,0.00,36833.04,552312.17
38612218720,1004605811,2017-07-15 00:51:00,STAMP DUTY CHARGE,0.00,100.00,552212.17
38612218721,1004605812,2017-07-15 16:35:00,Airtime//09031904969//MTN,0.00,10000.00,542212.17
38612218722,1004605813,2017-07-15 23:36:00,MC Loc POS Prch-000210000815--THE BLOWFISH LIMITED   LA           LANG-,0.00,55000.00,487212.17
38612218723,1004605814,2017-07-18 19:38:00,MC Loc POS Prch-000200002854--THE BEAUTY LOUNGE@ KINGLA           LANG-,0.00,15000.00,472212.17
38612218724,1004605815,2017-07-19 21:29:00,MC Loc POS Prch-071960036487--WHEATBAKER HOTELS        Lagos        NG-,0.00,44100.00,428112.17
38612218725,1004605816,2017-07-21 18:17:00,To macaulay iyayi,0.00,200000.00,228112.17
38612218726,1004605817,2017-07-23 21:05:00,MC Loc POS Prch-000021001623--EAT AND CO FOODS LIMITELA           LANG-,0.00,12500.00,215612.17
38612218727,1004605818,2017-07-27 16:57:00,MC Loc POS Prch-170727165652--PROMEMORIA NIG LTD     LA           LANG-,0.00,8107.00,207505.17
38612218728,1004605819,2017-07-28 16:07:00,Deposit,3960000.00,0.00,4167505.17
38612218729,1004605820,2017-07-29 04:24:00,STAMP DUTY CHARGE,0.00,50.00,4167455.17
38612218730,1004605821,2017-07-29 02:51:00,July 2017 MASTER Monthly Fee,0.00,52.50,4167402.67
38612218731,1004605822,2017-07-29 02:51:00,SMS Notification Charge Jul 2017,0.00,60.00,4167342.67
38612218732,1004605823,2017-07-29 13:45:00,MC Loc POS Prch-072909969168--WHEATBAKER HOTELS        LAGOS        NG-,0.00,2750.00,4164592.67
38612218733,1004605824,2017-07-31 23:18:00,Acct Maint. Fee + VAT,0.00,3632.03,4160960.64
38612218734,1004605825,2017-07-31 10:20:00,To Macaulay Iyayi,0.00,3000000.00,1160960.64
