bvn,account_number,date,description,deposits,withdrawals,balance
38612218715,1004605806,2017-09-23 00:00:00,Opening Balance,0.00,0.00,11810.88
38612218715,1004605806,2017-09-23 01:05:00,SMS Notification Charge Sep 2017,0.00,4.00,11806.88
38612218715,1004605806,2017-09-23 01:05:00,September 2017 MASTER Monthly Fee,0.00,52.50,11754.38
38612218715,1004605806,2017-09-22 18:57:00,OnDemand USSD Airtime. REFID: 105700000074165030,0.00,3000.00,8754.38
38612218715,1004605806,2017-09-25 04:20:00,MC Loc Web Prch-726807641280--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,1200.00,7554.38
38612218716,1004605807,2017-09-26 19:34:00,MC Loc Web Prch-727004421887--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,500.00,7054.38
38612218717,1004605808,2017-09-26 15:32:00,MC Loc Web Prch-727000410135--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,800.00,6254.38
38612218718,1004605809,2017-09-27 12:09:00,MC Loc Web Prch-727021453469--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,800.00,5454.38
38612218719,1004605810,2017-09-27 14:31:00,MC Loc Web Prch-727023461557--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,900.00,4554.38
38612218720,1004605811,2017-09-27 11:33:00,MC Loc Web Prch-727020451103--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,1200.00,3354.38
38612218721,1004605812,2017-09-28 19:34:00,MC Loc Web Prch-727204527914--TAXIFY - PAYSTACK        IKEJA        NG-,0.00,800.00,2554.38
38612218722,1004605813,2017-09-30 07:26:00,Acct Maint. Fee + VAT,0.00,9.66,2544.72
